Tempo (ms),(B) INTERCEPT_ORIG_TEMPO,(C) TVD (metros),(A) PSTM_COR
1592,0.0201938,1521.0225142,-9499.6484375
1596,0.0083081,1526.4956313,-8814.0078125
1600,-0.0076371,1531.9958829,-5710.75
1604,-0.0182365,1537.3546295,-1261.9350586
1608,-0.0188456,1542.5856592,3553.6757813
1612,-0.0112154,1547.8395904,6772.2421875
1616,-0.0005596,1552.9234804,8026.2148438
1620,0.0075946,1558.0372871,6965.7929688
1624,0.0096975,1563.1931134,1383.8371582
1628,0.0060107,1568.3102139,-6661.1601563
1632,-0.0005011,1573.4176553,-10071.7265625
1636,-0.0057677,1578.5320069,-5262.0117188
1640,-0.0050482,1583.6154409,3957.5791016
1644,0.0020244,1588.586124,9568.8007813
1648,0.0063983,1593.5887326,7375.6914063
1652,-0.0011779,1598.7353552,2789.237793
1656,-0.0147258,1603.8514671,1767.302002
1660,-0.0167079,1608.8434594,1029.2414551
1664,0.0005536,1613.763325,-3689.4829102
1668,0.0244418,1618.788893,-9314.3984375
1672,0.0347863,1623.9359695,-10986.3476563
1676,0.0227208,1629.2239597,-7691.7148438
1680,-0.0030785,1634.5736669,-1967.4106445
1684,-0.0251131,1639.7845738,3063.6923828
1688,-0.0308704,1644.9202597,6559.8984375
1692,-0.0201973,1649.9662574,7977.40625
1696,-0.0025679,1654.9130647,5460.7695313
1700,0.0114498,1659.9798213,-27.0962982
1704,0.0174089,1665.0832007,-3821.2243652
1708,0.0161306,1670.2046725,-3119.9553223
1712,0.0076586,1675.3290819,-77.9853821
1716,-0.0079374,1680.5174826,1329.8833008
1720,-0.0232217,1685.673882,217.6299438
1724,-0.0249675,1690.7545749,-983.1604004
1728,-0.0079901,1695.784417,-1306.3513184
1732,0.0163041,1700.7984736,-1955.8186035
1736,0.0302202,1706.0041347,-2378.1657715
1740,0.0286748,1711.3771834,-1684.9155273
1744,0.0224647,1716.8391403,-1025.7907715
1748,0.0184979,1722.1425098,-235.6317749
1752,0.0055057,1727.5298325,2329.7836914
1756,-0.0263414,1733.1556759,5495.21875
1760,-0.0587163,1738.419474,5541.9765625
1764,-0.0594282,1743.3305709,660.3725586
1768,-0.0226443,1748.0937613,-6488.71875
1772,0.0223215,1752.8417834,-10942.6953125
1776,0.043163,1757.7640805,-10631.7773438
1780,0.0346172,1762.8179543,-7192.453125
1784,0.0151985,1767.8504445,-1592.1242676
1788,0.0022108,1772.8768441,6152.0
1792,-0.0027099,1778.0266501,13656.5195313
1796,-0.0054133,1783.1285236,16689.4414063
1800,-0.0074261,1788.1313017,12670.390625
1804,-0.0069525,1793.1096645,3258.1306152
1808,-0.0048951,1798.0618844,-6238.8867188
1812,-0.0048144,1802.9359183,-9876.2382813
1816,-0.0081958,1807.7754483,-4400.53125
1820,-0.0107308,1812.6020152,7200.5703125
1824,-0.0057132,1817.346788,15842.9414063
1828,0.0057159,1822.0230105,14245.1601563
1832,0.0130994,1826.7612706,4860.0859375
1836,0.0112032,1831.6482888,-3975.2629395
1840,0.0075321,1836.4539509,-8346.015625
1844,0.0078374,1841.2545306,-10180.53125
1848,0.0049689,1846.1216385,-11298.1796875
1852,-0.0084351,1851.0418763,-11704.2148438
1856,-0.0258738,1855.8951927,-11497.6015625
1860,-0.0344562,1860.6487462,-10549.5703125
1864,-0.028759,1865.3846516,-8389.8125
1868,-0.0106292,1870.1243211,-5568.8867188
1872,0.0168214,1874.9217791,-3275.310791
1876,0.0457652,1879.9475712,-1305.9946289
1880,0.0581515,1885.1115725,3736.9047852
1884,0.037245,1890.776886,14807.6289063
1888,-0.0095074,1896.6553132,26324.6835938
1892,-0.0509948,1902.335699,26475.4921875
1896,-0.0631519,1907.8855728,11364.0742188
1900,-0.0442543,1913.5832246,-8886.7578125
1904,0.0030225,1919.3778068,-20093.765625
1908,0.0729673,1925.1796579,-16855.9648438
1912,0.1273746,1931.4270079,-5043.296875
1916,0.1071443,1938.241679,5522.9648438
1920,0.0069015,1946.8668658,8987.7421875
1924,-0.0952786,1954.1281847,6071.7578125
1928,-0.1200396,1960.3017792,1095.0512695
1932,-0.0717323,1966.3567914,-2487.2099609
1936,-0.0130663,1972.2873427,-3172.2470703
1940,0.0139095,1978.1500625,-1074.9975586
1944,0.0142815,1983.9319636,1470.342041
1948,0.0106336,1989.6542346,1194.1884766
1952,0.0120134,1995.2761095,-2756.3859863
1956,0.0110182,2001.0023556,-7118.625
1960,0.0030213,2006.8233494,-7212.0
1964,-0.000409,2012.6624092,-2704.2133789
1968,0.0129741,2018.3671808,1461.467041
1972,0.0301217,2024.1212465,2546.6777344
1976,0.0218971,2030.032313,3376.7214355
1980,-0.0138361,2036.3747066,5459.2304688
1984,-0.0404722,2042.2407343,5849.859375
1988,-0.0295587,2047.8511671,3183.7050781
1992,0.0019382,2053.5864935,823.2956543
1996,0.0187725,2059.4718867,963.6123047
2000,0.0123835,2065.3304192,374.4526367
2004,0.0016344,2071.3319533,-4039.5024414
2008,0.0020264,2077.1873646,-9513.109375
2012,0.0094835,2083.0482295,-10543.7070313
2016,0.011325,2089.1408549,-5550.2382813
2020,0.0030822,2095.1384514,1759.0703125
2024,-0.0084011,2101.0755752,6836.6796875
